pulocationid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
1,19.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.216666666666665,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.866666666666666,,,,,,,,,23.716666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,23.766666666666666,,,,,,,7.683333333333334,,,,,,,,12.116666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,54.54047619047619,,5.167347218416004,43.00925925925926,,,26.16421568627451,,21.255555555555553,28.980555555555554,63.45,,49.15,50.916666666666664,21.84027777777778,21.9375,44.32380952380952,14.547572499185403,27.67222222222222,13.098000963391137,76.53333333333333,,,38.266666666666666,36.96666666666667,92.45,,30.533333333333335,,,10.736543209876544,6.360435729847494,37.03333333333333,,46.01,40.58888888888889,38.401282051282045,37.75,37.770833333333336,40.5,33.1892694063927,25.168219461697724,34.18333333333333,,50.05833333333333,12.512578616352203,19.35438342967245,42.43866666666667,50.05,29.666666666666668,8.872885906040269,,22.433333333333334,,50.8,22.369444444444447,21.613636363636363,11.719806763285025,23.913888888888888,17.720506912442396,42.77037037037037,47.62222222222223,31.215625,24.198611111111113,61.64333333333333,45.791666666666664,46.65,37.89666666666667,25.208647342995167,21.902564102564103,49.71666666666667,38.825,27.6,24.240712468193387,29.884953703703705,34.391666666666666,41.541666666666664,15.198417132216015,40.74791666666667,36.690740740740736,6.883548600761715,28.483333333333334,28.98095238095238,,57.95,,40.386904761904766,33.346666666666664,48.65,47.54,64.47222222222223,21.432478632478634,22.5125,17.265339966832506,30.399509803921568,,32.85,16.9,,47.08859649122807,,30.416666666666668,,,,,37.27333333333333,56.53333333333333,,,,45.2,,49.53333333333333,,28.083716475095788,50.11666666666667,,23.68263888888889,30.444444444444446,25.944444444444446,30.266666666666666,,49.8,49.208333333333336,18.401851851851852,23.154545454545453,24.19027777777778,24.543518518518518,30.241666666666667,25.245833333333334,35.44588477366255,,31.240000000000002,29.22142857142857,19.516856060606063,33.70972222222222,23.764901960784314,38.86190476190476,35.66222222222222,32.284615384615385,38.147619047619045,41.21458333333333,49.083333333333336,32.99523809523809,36.62222222222223,19.826528599605524,51.22166666666667,,,32.983333333333334,28.833333333333332,21.87741935483871,,,,28.357142857142854,43.78333333333333,23.836289308176102,25.64027777777778,41.433908045977006,39.22222222222222,41.03947368421053,45.075,,34.34213836477988,21.013629283489095,21.24318576388889,20.000506756756756,37.934444444444445,21.14074074074074,,23.65,12.732539072508327,16.716666666666665,,32.99047619047619,57.666666666666664,25.25,39.74166666666667,40.22222222222222,13.908467432950193,7.9982188295165395,5.86811320754717,8.157882769075291,46.90972222222222,,47.9,47.03333333333333,46.24333333333333,27.649275362318843,22.0375,40.93910256410256,23.766666666666666,,30.414285714285715,28.459259259259262,36.43958333333333,,21.16711111111111,46.68333333333333,30.558333333333334,36.907575757575756,,32.545,54.53333333333333,21.2,11.271966319960375,39.044444444444444,,45.62777777777777,13.21348973607038,14.429320492241839,,31.961111111111112,31.406060606060603,,42.5,34.623333333333335,21.50099290780142,,44.5,27.819298245614036,,40.36875,28.891666666666666,50.11666666666667,54.99166666666667,31.141666666666666,45.571333333333335,62.48571428571429,47.6,33.158974358974355,40.61888888888889,22.534649122807018,32.228205128205126,34.67833333333333,36.67456140350877,30.38279569892473,9.862655971479501,17.668941009239518,10.115806390622046,24.45313725490196,27.494686800894854,,36.2,25.146182085168867,14.203064066852367,39.90333333333333,12.393053016453383,,20.235,,8.2834453154162,36.85333333333333,50.141666666666666
4,38.44014336917563,,36.00555555555556,8.35347619047619,39.81666666666667,30.175,25.623985507246378,,32.711111111111116,34.955555555555556,,14.192499999999999,14.97283950617284,26.282745098039218,39.488888888888894,31.03666666666667,23.896922183507552,33.40888888888889,43.75,35.9,29.758333333333333,31.65,32.355555555555554,26.959259259259262,18.7640753828033,28.078666666666667,,33.85444444444445,26.7,,33.075,27.37222222222222,16.554674796747967,21.582638888888887,37.514197530864195,26.687746625129805,24.988899430740037,34.85,53.41212121212121,20.343004115226336,25.945340501792113,23.07841163310962,24.599107142857143,50.108333333333334,11.746816168327797,46.44166666666667,35.15625,23.466292834890965,23.16916666666667,24.65031152647975,34.47361111111111,18.843910256410258,30.68,18.335897435897436,38.983333333333334,31.89848484848485,27.541666666666668,34.483333333333334,,34.49444444444444,28.038474025974025,33.55533333333333,41.12105263157894,29.341666666666665,16.658760683760683,16.577115384615386,27.327083333333334,19.9735349273324,28.578787878787878,26.89047619047619,33.596296296296295,39.888636363636365,41.7,21.72465277777778,21.552851711026616,47.31956521739131,44.47575757575758,36.602380952380955,6.844180573384681,18.008423261390888,31.354166666666668,26.15090909090909,21.932407407407407,70.1,30.509803921568626,67.13333333333334,12.643768693918245,10.366422018348624,29.727696078431375,16.244732576985413,35.78055555555556,30.977777777777778,29.125,33.080555555555556,27.859803921568627,33.766666666666666,21.183333333333334,49.525,,21.246822429906544,,36.06666666666667,,,,22.508333333333333,9.54920920920921,41.12222222222223,,,18.416666666666668,18.59877551020408,11.006439704675964,10.028029730410683,,25.57751937984496,57.329166666666666,34.28333333333333,22.532795698924733,,30.455,,32.2,46.03333333333333,14.61082304526749,27.311666666666667,27.8508547008547,28.916666666666668,25.045767195767198,32.43974358974359,24.47222222222222,41.304270462633454,27.72388888888889,28.61969696969697,33.197916666666664,30.65888888888889,10.051071922544953,24.88687641723356,,15.405913978494624,16.132525951557092,25.81092503987241,26.694094488188977,11.292294610151753,19.266135458167334,20.967735042735043,25.287222222222223,8.608571648216481,34.45714285714286,33.37222222222222,26.58421985815603,27.99418604651163,28.85,,34.738095238095234,40.238888888888894,22.171212121212122,17.088110403397028,26.569583333333334,25.667361111111113,19.080897435897437,14.83498015873016,21.756743421052633,16.627127438771275,34.46449275362319,29.680333333333333,27.934666666666665,21.50015015015015,30.29705882352941,14.148750390502967,36.95666666666667,,34.45138888888889,35.17878787878787,38.24583333333333,,31.887083333333333,24.4,24.765873015873016,35.63055555555556,23.5542071197411,30.25,27.69,,31.665476190476188,18.962989493791785,,29.48137254901961,25.807536231884058,27.856060606060606,34.31666666666667,28.25151515151515,23.347916666666666,24.188888888888886,20.79494382022472,22.279545454545453,33.045833333333334,28.870045045045046,,31.403846153846153,45.84166666666667,27.44722222222222,,,41.19583333333333,,,35.91,11.786657917760278,40.125,12.345404339250495,32.31875,31.873809523809523,33.37222222222222,37.57333333333334,38.62166666666667,15.928632478632478,37.208333333333336,32.61666666666667,31.738888888888887,27.629166666666666,38.65,25.17142857142857,6.576707650273224,26.300375939849623,22.165068493150685,25.182716049382716,24.830188679245282,13.462646370023418,21.542728442728443,15.816338406445839,7.209699129057799,11.529837807606265,13.98270421410026,29.383974358974356,21.991891891891893,18.941802388707924,26.269113149847094,26.57994011976048,29.141666666666666,37.36904761904762,34.450833333333335,26.583571428571428,25.469892473118282,,22.701770152505446,25.48763440860215,27.186666666666667,14.388520408163265,29.864583333333332,,29.75277777777778,,32.13194444444444,17.88795061728395,15.287944162436549
5,26.33701550387597,,,,6.377981220657277,26.47543859649123,,,,63.38333333333333,37.5452380952381,,46.9,30.957954545454545,,66.63333333333334,,,,,26.966666666666665,30.427083333333332,13.89508547008547,,44.3,42.99583333333333,,,35.59166666666667,,,,50.39444444444444,,,,,,58.52777777777778,49.71666666666667,,,,11.614836795252225,,,,40.975,,,,,,,37.075,,,,,,,,,,,,26.42777777777778,40.9875,,,53.575,62.05,,,69.025,,,,,,,59.06666666666667,,7.316666666666666,,,39.52619047619047,,47.25833333333333,50.86666666666667,,,,,47.333333333333336,,,,5.3875,50.3,,64.96666666666667,,,,,48.61666666666667,38.733333333333334,9.852376033057851,,,,,,23.413095238095238,,,11.629395790902919,,,,,31.25,,,,,,,,,53.03888888888889,29.216666666666665,53.4,,,58.5875,46.06666666666667,,59.21666666666667,55.208333333333336,68.46666666666667,,,,,,42.1125,36.43333333333333,32.61666666666667,,,,,38.0,16.307183908045978,,49.22222222222222,77.23333333333333,39.95,72.77666666666667,55.541666666666664,,45.833333333333336,40.483333333333334,,58.85,,,70.325,67.16666666666667,19.488353413654618,,,,16.954347826086956,,33.0,,,36.769999999999996,,,,,54.0,20.3010101010101,42.56666666666667,54.53333333333333,,,,,,35.13333333333333,,,,,,55.833333333333336,,,6.366666666666666,,28.824444444444445,,105.93333333333334,39.64444444444444,34.07222222222222,38.733333333333334,,,22.66526479750779,,,,,,,25.562643678160917,,,,,,33.09444444444445,34.675,50.15,51.77121212121212,,40.11666666666667,,50.50238095238095,46.2,61.18888888888889,47.55555555555556,,,,,,,,27.929259259259258,39.71666666666667,,,50.329166666666666,,19.1003663003663,,,,41.983333333333334,
6,28.16087962962963,,,25.366666666666667,25.656896551724138,6.131850715746421,28.0,,,,15.439743589743589,,25.75,13.730848861283643,,,20.25,,,,17.564,15.234803921568629,16.161676082862524,,25.0,21.269444444444446,29.0,,19.007407407407406,,,47.416666666666664,21.891666666666666,,,44.766666666666666,34.4,,23.866666666666667,,,,,27.472868217054263,36.375,,,37.272222222222226,33.5,34.04666666666667,,41.333333333333336,,,22.82254901960784,50.88333333333333,,,,,37.61666666666667,34.24166666666667,,,29.220833333333335,29.12222222222222,14.446,45.291666666666664,,48.78333333333333,24.05,31.016666666666666,,33.06666666666667,40.1,34.00833333333333,31.75,,33.9375,31.404166666666665,,25.475,,25.504716981132074,,,26.64333333333333,30.275,24.113333333333333,34.39607843137255,29.413333333333334,57.083333333333336,,,,,28.305555555555554,,21.32,52.266666666666666,,,,,,19.691666666666666,31.438888888888886,20.38076923076923,21.790839694656487,,,52.4,33.123333333333335,26.725,7.371768707482993,,,15.370051413881749,,,,,21.3675,,33.8,41.95,,,,,,37.02361111111111,25.304166666666667,,,,40.25,45.2462962962963,,47.14285714285714,35.775,47.46666666666667,,44.333333333333336,,,41.333333333333336,,27.936666666666667,18.10151515151515,,,,,26.6,16.63036723163842,,26.925,,,54.13,31.63888888888889,34.63333333333333,36.25333333333333,28.283333333333335,,,,52.53333333333333,40.16041666666667,,11.937687265917605,,,,15.54910394265233,,,48.425,,25.133333333333333,46.85,,,39.75,42.20714285714286,15.518518518518517,27.941666666666666,35.84166666666667,16.166666666666668,,,,,28.583333333333332,32.65,,,,,29.316666666666666,,,21.50185185185185,,15.713700838168924,,,27.183333333333334,23.020833333333332,,,55.55,6.574477861319966,,,,,,,8.226119078661451,,42.6,,33.475,,14.582716049382716,16.617708333333333,41.33888888888889,51.46666666666667,25.688095238095237,,39.3,38.33166666666667,,45.0,34.9,,45.43333333333333,,,,,48.61666666666667,13.692466666666666,39.68666666666666,,,29.32777777777778,,12.046684118673648,,,,24.57777777777778,39.8625
7,50.315555555555555,,25.586324786324784,26.377720207253887,,33.833333333333336,6.30465543984046,8.733680555555557,24.024637681159422,25.715367965367967,41.431372549019606,29.97222222222222,36.292269076305224,32.07418879056048,21.8826139088729,24.55776515151515,26.560256410256407,26.724110032362457,26.83852813852814,25.92549019607843,39.16846846846847,36.674285714285716,58.25,27.06906906906907,28.62979002624672,37.324,44.38333333333333,21.182841530054645,44.85,41.21666666666667,23.302525252525253,22.951937984496123,27.64529262086514,25.499842767295597,32.90730994152047,24.103971533516987,25.161242603550296,32.12469135802469,34.94924242424243,30.410389610389608,23.14676724137931,19.908152827918173,23.663932291666665,51.55555555555556,27.27451923076923,28.44333333333333,26.477777777777778,27.175880758807587,25.988969404186793,26.73859289617486,27.5391156462585,28.00462962962963,19.92949002217295,26.774074074074072,38.66884057971014,17.97629213483146,16.05117370892019,24.27592592592593,36.405,22.20078431372549,31.713415750915754,36.88604651162791,29.729498525073744,25.425510204081636,27.79418604651163,27.436016949152542,33.13333333333333,30.969345238095237,22.172906403940885,12.808691115086464,42.20729166666667,38.02543859649123,22.53174603174603,17.735933255723708,20.4497113997114,32.12225,29.617619047619048,25.438624338624336,26.357945736434107,18.728734939759036,27.996363636363636,16.699993564993566,13.775095785440612,48.9,40.63439716312057,44.952777777777776,30.278051643192487,32.80101781170484,36.23086419753086,29.352961082910323,42.35572916666667,18.71830357142857,16.5716,24.879532163742688,19.636056376573617,23.680208333333333,28.056972789115648,22.372362869198312,,27.468663406682968,29.918055555555554,25.523308270676694,,,,31.166666666666668,24.791077119184195,40.818888888888885,45.666666666666664,,33.5,16.333265811388703,30.594715447154474,30.583539094650202,34.12,21.977047619047617,48.70797101449275,37.791666666666664,18.679761904761904,24.87222222222222,21.168545454545452,29.18011695906433,43.679545454545455,33.787179487179486,35.13827160493827,20.039756944444445,23.46291390728477,28.603333333333335,11.642169677387772,24.67851617440225,22.9997668997669,30.49553692411924,32.36260162601626,21.649844236760124,19.523322332233224,23.826356589147288,22.93440170940171,12.463088768115941,30.33421052631579,19.242613084837895,17.93690364826941,25.869874932028274,27.528370786516856,28.030555555555555,11.948309831949006,7.720753564154786,22.85697278911565,25.83697027197976,53.85128205128205,45.8074074074074,27.17385229540918,23.5179718875502,26.163333333333334,,46.00606060606061,43.71666666666667,16.819205298013244,34.43205128205128,19.271474358974356,20.41400966183575,22.451765375854215,19.7005439005439,21.010864416814684,25.747506313131314,38.40714285714286,28.337295081967213,23.28715277777778,16.514332784184514,26.112671232876714,22.64892623716153,20.94600938967136,48.325,17.295641025641025,27.22416666666667,25.04350649350649,,29.826851851851853,45.705555555555556,7.560320542104462,30.210350877192983,33.665912518853695,23.027121212121212,22.279,22.383333333333333,23.900555555555556,28.794053744997143,48.88333333333333,36.18687943262411,30.820261437908496,32.906666666666666,27.716966067864274,18.923296836982967,8.098608,16.267045454545453,31.150952380952383,20.71263440860215,24.763218390804596,23.17044344231492,,26.8978835978836,39.90555555555556,10.746393442622951,30.883333333333333,37.78333333333333,32.18632478632478,77.81666666666666,8.989088729016787,22.252754820936637,28.7453125,44.029333333333334,33.1875,19.080695443645084,18.980479452054794,36.97666666666667,28.3025641025641,27.596544715447155,22.233333333333334,30.505925925925926,25.761666666666667,25.051141552511414,57.154761904761905,36.4875,9.211100499559214,24.33265306122449,30.03909090909091,10.03263174733763,33.0516129032258,32.92754820936639,15.96777910210568,25.392715419501133,33.77698087431694,25.127011494252873,20.71888686131387,28.255624036979967,22.710087719298247,22.548256952604778,19.3883507439063,27.129423264907135,26.94887190684134,24.22380952380952,26.300330033003302,25.342647058823527,24.181638418079096,24.78861852433281,41.36111111111111,32.31498599439776,20.480350877192983,20.712413793103448,32.29537389100127,20.18639143730887,36.172222222222224,19.537671232876715,20.32619047619048,27.32109375,20.11925601750547,21.11643225503985
8,,,,,,,10.553174603174602,5.958333333333333,20.05,,,,,,26.15,,,,,,,,,,,,,,,,,,,,,25.3,34.083333333333336,,,,25.808333333333334,17.575,,,,,,29.695833333333333,,,,,,,,18.833333333333332,,,,,38.325,,,,,,,39.13333333333333,,,,,,16.8,24.866666666666667,,,,29.208333333333332,24.179166666666667,25.3,20.706666666666667,9.816666666666666,,,,,,,,,,,,23.066666666666666,,25.566666666666666,,,29.316666666666666,,,,,,,31.441666666666666,,,,,24.258333333333333,,33.35,,,,,,,17.433333333333334,,,,29.933333333333334,,26.2,,15.941666666666666,19.966666666666665,,40.71111111111111,,22.65,18.183333333333334,,,14.216666666666667,,22.05277777777778,22.516666666666666,,,,14.94375,9.669444444444444,,41.13333333333333,,,,,,,,,24.15,,,,26.523333333333333,29.491666666666667,45.916666666666664,27.058333333333334,,,,,,,,,,,,,,,6.819298245614035,,27.983333333333334,,,,,,,,,,,18.416666666666668,9.1,12.416666666666666,,,,36.18333333333333,,,,,,,,,10.641666666666667,,,,,,,,,18.983333333333334,,,,,,,5.914957264957265,,66.975,17.97407407407407,,,,,,29.733333333333334,17.35,31.083333333333332,,26.741666666666667,,,,,43.78333333333333,,,,,31.783333333333335,,,38.0,,,17.666666666666668,,,21.683333333333334,
9,63.507407407407406,,18.3,49.11666666666667,,,23.780691056910566,,5.3687608426270135,22.556349206349203,43.3,,49.15833333333333,37.1875,9.8379380603097,6.728464191519578,28.491666666666667,29.275,14.742735042735042,24.740000000000002,48.36666666666667,45.102777777777774,,30.85,36.016666666666666,70.675,,14.939412997903563,46.36666666666667,,,21.216666666666665,36.46666666666667,,32.81666666666667,25.72878787878788,31.936111111111114,18.581666666666667,45.93333333333333,45.776666666666664,,29.441666666666666,26.85,82.23333333333333,49.97083333333333,,21.983333333333334,34.8625,28.370833333333334,35.68333333333333,18.72222222222222,50.833333333333336,17.898064516129033,,,12.749415204678364,16.345238095238095,,,28.320833333333333,34.59583333333333,37.579166666666666,24.08833333333333,13.541666666666666,35.273809523809526,25.34333333333333,41.36666666666667,38.78809523809524,34.45,17.39814814814815,,35.46666666666667,6.605531189083821,29.641666666666666,25.27777777777778,24.353703703703705,27.288888888888888,,32.73148148148148,24.097619047619048,36.75,17.420576131687245,21.45806451612903,,,41.14,33.18809523809524,43.80833333333333,42.11666666666667,38.083333333333336,41.60555555555556,13.360379303236446,15.154901960784313,23.25,15.991402714932127,27.083333333333332,40.39,7.040353535353535,,44.07142857142857,15.330637254901962,19.217333333333332,,,,,33.928333333333335,48.583333333333336,,,,24.768055555555556,39.975,34.475,,47.15,36.00833333333333,,26.666666666666668,,9.336632302405498,15.103809523809524,48.53333333333333,32.69117647058824,,21.808333333333334,,,21.664076576576576,19.45978682170543,11.16007984031936,25.144052863436123,71.55,20.317094017094018,11.730758226037198,30.783333333333335,34.16111111111111,17.876824034334767,23.48,34.91166666666666,28.75277777777778,45.84444444444444,,34.733333333333334,27.096666666666668,30.91962962962963,19.241666666666667,32.78076923076923,56.78333333333333,,41.791666666666664,37.977777777777774,33.07083333333333,,34.766666666666666,,18.56268115942029,39.08888888888889,26.211111111111112,17.886274509803922,38.1474358974359,43.931111111111115,34.80833333333333,30.275287356321837,57.983333333333334,33.401666666666664,29.47962962962963,23.901666666666664,33.12222222222222,28.551041666666666,7.6039414414414415,,16.43457711442786,28.17,9.581410256410257,,28.655128205128207,,26.396759259259262,31.954761904761902,46.82083333333333,18.772222222222222,19.126190476190477,21.325,20.532142857142855,36.92666666666666,,40.916666666666664,39.25,,14.041830065359477,9.10251461988304,28.333333333333332,,46.13333333333333,17.61995305164319,22.98720930232558,27.53174603174603,,38.63333333333333,,33.3,23.188095238095237,,23.426068376068375,,16.016666666666666,16.17962962962963,29.645833333333332,39.15,40.75416666666667,,20.370833333333334,,20.627083333333335,25.932000000000002,22.470833333333335,28.13472222222222,26.64642857142857,38.53333333333333,,,22.25703125,33.29666666666667,40.291666666666664,23.69298245614035,39.55,44.766666666666666,25.89814814814815,45.85769230769231,40.02777777777778,40.770833333333336,32.36666666666667,32.4875,37.95,40.15,37.75,59.59583333333333,43.69375,,28.904166666666665,24.35,26.55666666666667,32.487037037037034,,41.55833333333333,32.53333333333333,23.15,30.416666666666668,24.979166666666668,,12.255729166666667,18.316666666666666,25.07222222222222,28.81,27.379166666666666
10,54.43333333333333,,27.245833333333334,38.17142857142857,,28.633333333333333,28.789917695473253,,24.11148148148148,6.341176470588236,31.495833333333334,49.172222222222224,41.35555555555556,37.04385964912281,28.581666666666667,25.134226190476188,35.483333333333334,41.45,24.044252873563217,30.470833333333335,28.516666666666666,27.759999999999998,44.40333333333333,45.52777777777778,51.31363636363637,42.93333333333333,,14.417078580481622,28.533333333333335,30.333333333333332,52.016666666666666,28.82777777777778,42.09901960784314,34.193333333333335,29.07063862928349,29.288235294117648,29.52876984126984,15.578445512820512,21.845961538461538,58.8,33.88333333333333,30.419270833333332,39.988888888888894,83.10833333333333,38.108333333333334,,33.09761904761905,44.08392857142857,43.22604166666667,47.45454545454546,31.290625,31.7,22.006746031746033,,29.141666666666666,17.800709219858156,21.13,32.96666666666667,,31.125,33.06185344827586,36.62222222222223,16.998314606741573,25.5,40.18045977011494,40.15416666666667,39.34166666666667,44.766666666666666,44.486363636363635,19.924621212121213,36.023809523809526,29.28468992248062,22.637681159420293,34.244594594594595,37.21239316239316,17.236539816772375,22.92206572769953,36.28939393939394,40.6719298245614,32.98518518518519,34.45925925925926,22.454946996466433,29.755426356589147,,38.47575757575758,25.004035087719295,46.93277777777778,42.338095238095235,37.730333333333334,44.85454545454546,26.417099567099566,21.112202380952382,16.525,33.288888888888884,18.256784313725493,19.502380952380953,37.81969696969697,21.23395061728395,,40.99557823129251,25.998507462686568,21.82598870056497,,,,64.05,38.49,29.33,,,,30.758974358974356,42.64,45.556060606060605,34.083333333333336,33.80238095238095,29.94561403508772,52.55,33.358333333333334,,18.43539094650206,15.948177083333333,32.020833333333336,13.508028455284553,55.35666666666667,32.705,44.906666666666666,43.166666666666664,25.54213483146067,10.885189658257293,16.58097014925373,8.94597863389793,41.00666666666667,13.495454545454546,16.925,36.87888888888889,36.29305555555556,22.59211653813196,12.875318401405359,44.08076923076923,36.96851851851852,45.580000000000005,64.55,44.64666666666667,33.46572769953052,33.544871794871796,35.583333333333336,39.611805555555556,31.875,18.494444444444447,43.92777777777778,35.376666666666665,,23.240000000000002,28.04122807017544,77.28888888888888,26.771794871794874,39.85666666666667,30.790476190476188,23.316959064327484,46.11666666666667,40.53055555555556,42.501041666666666,36.61474358974359,33.96944444444445,43.55833333333333,33.66851851851852,31.09047619047619,33.656666666666666,38.55862068965517,24.57282608695652,34.25,22.65855855855856,33.84444444444445,26.859178743961355,,27.802061855670104,35.458333333333336,28.42820512820513,12.894567510548523,50.397619047619045,29.459999999999997,34.24444444444444,,36.28703703703704,43.958771929824564,,39.24201877934272,40.977777777777774,39.63333333333333,18.299646074646077,19.236458333333335,31.868181818181817,42.3030303030303,32.59761904761905,22.03234463276836,13.251921824104235,30.338771929824564,,,28.111403508771932,35.10555555555556,14.601195355191257,,9.688048552754434,51.294444444444444,20.510919540229885,26.76388888888889,42.66388888888889,27.410493827160494,43.95,25.138095238095236,26.407843137254904,,7.266518320723929,8.927241939853698,31.641666666666666,7.522716456159619,10.31290834126229,32.666666666666664,35.55,16.88308080808081,24.562760416666666,37.233333333333334,31.747587719298245,24.32906976744186,44.76944444444444,33.521153846153844,40.125757575757575,43.93497942386831,43.44710144927536,39.541666666666664,38.11333333333334,41.56049382716049,36.63425925925926,37.12833333333333,37.49722222222223,47.17777777777778,48.987037037037034,,29.658333333333335,30.66166666666667,35.64444444444444,41.47083333333333,,47.2025,36.778787878787874,31.054166666666667,45.28787878787879,33.35,39.983333333333334,25.01842105263158,10.85,35.294999999999995,32.00625,32.824561403508774
